time_h,target_Q,choke_pct,Q,WHP,FLP,BHP,WHT,AP,n_candidates,n_feasible,all_infeasible
1.0,100.0,5.0,6.854698111146298,1454.9369121615573,183.94027130599596,2968.860213127605,95.9043761865018,449.9569381094818,11,11,False
2.0,100.0,10.0,22.602232662323836,1361.9630308228188,189.9486731871134,2895.969610338007,98.76113921544327,449.00764602614646,21,21,False
3.0,100.0,15.0,42.90310605086461,1236.8942714235766,197.8378722013791,2800.53918995444,103.30191746223473,449.48779865033873,21,21,False
4.0,100.0,20.0,63.821755392740165,1096.1315289247832,206.27024575415123,2679.229025364449,107.93302662157348,449.7483624526468,21,21,False
5.0,100.0,25.0,82.73539381937702,957.6240886278704,214.84235819770117,2557.4820589079436,114.00885169602631,448.86015303314775,21,21,False
6.0,100.0,29.5,99.13410327562862,837.3172985433374,221.86116128439662,2444.8340789120894,119.8409938040326,449.2663690281473,21,21,False
7.0,100.0,29.5,105.57981244521093,784.2543432733804,223.2172526096619,2377.424176542638,123.25938682944047,450.6870906172252,21,21,False
8.0,100.0,29.5,107.91532944482618,761.4852722488613,223.7127181113883,2334.6114812343267,126.54699920997155,450.0672902441573,21,21,False
9.0,100.0,28.5,106.21667010810245,762.6468618317164,223.40712117385974,2316.29433514433,127.82718632122145,450.0804253610165,21,21,False
10.0,100.0,28.0,104.57089160482089,772.6136990874011,222.48912828677902,2312.822430830616,128.96585971057263,449.6349483352953,21,21,False
11.0,100.0,27.5,104.1085589901273,781.3952343655668,221.126092447959,2309.578179854138,129.48616082329067,449.7447221544358,21,21,False
12.0,100.0,27.0,101.78190247086815,792.3265679416185,220.7239534397733,2318.7417760956705,129.50770319306096,451.24252666323366,21,21,False
13.0,100.0,27.0,101.23346252899846,796.3706211356231,219.81195776330256,2321.418641343048,129.669208116114,450.49699668977473,21,21,False
14.0,100.0,27.0,102.64158973581883,799.5303442035015,221.63606347143633,2317.3366575434775,129.76637380075823,450.5746748804868,21,21,False
15.0,100.0,27.0,102.2645303233153,799.183024276497,222.09338550288217,2322.0405909047677,129.6974368848229,450.38678098204633,21,21,False
16.0,100.0,27.0,102.23408495486183,800.2478841321855,219.53014017726446,2322.070716905654,130.69279719137825,447.66120105791,21,21,False
17.0,100.0,27.0,102.57125280773025,800.5851946075863,218.972206056294,2323.2176242352525,130.154901172149,450.99660413419247,21,21,False
18.0,100.0,26.5,99.58729922874609,808.0144723969914,221.5989126481851,2324.7982445119665,129.69286278866372,449.72335521580345,21,21,False
19.0,100.0,26.5,100.32936216499357,812.6228015508581,219.54396783901817,2328.5358082883245,130.35801515299184,450.5508894572994,21,21,False
20.0,100.0,26.5,99.09851837055756,811.7999724129438,221.8465352191567,2333.6820778178717,129.88697814587195,449.7509841051282,21,21,False
21.0,100.0,26.5,99.43180758322508,812.3048029075535,218.72086397473157,2334.2194921496493,130.35250513552648,451.316301781766,21,21,False
22.0,100.0,26.5,98.13790832472115,812.5974398188652,220.52215991314702,2333.3561602295235,130.1811128488284,450.00738245598495,21,21,False
23.0,100.0,26.5,100.71376356664896,816.3136586639687,218.9698509630853,2332.4095835290736,130.12762414951789,448.34359301746247,21,21,False
24.0,100.0,26.5,100.0625053845661,811.6733280446965,219.86722498335823,2336.485023245144,130.36477025946795,449.26779681934994,21,21,False
25.0,100.0,26.5,100.1185597696223,813.8794591059124,219.77319201954424,2337.9455822405616,129.6885189694036,447.6220347224784,21,21,False
26.0,100.0,26.5,100.12963198121328,810.7263720471592,218.22545260119517,2334.3651473739146,130.2731622786154,450.18200260784926,21,21,False
27.0,100.0,26.5,100.09718864488514,814.4943867661392,219.590208817037,2331.4870795928123,129.53881267716667,450.04674917285024,21,21,False
28.0,100.0,26.5,99.54411265744842,814.1941843942016,220.9609705924026,2335.5462350223884,130.10974320951667,450.79307903513273,21,21,False
29.0,100.0,26.5,100.61987211486615,813.7285442485268,220.0683938266338,2336.2072805647017,129.64859783219634,449.9001406572176,21,21,False
30.0,100.0,26.5,99.55451499346424,812.4591760609233,220.28831748136398,2333.186456204703,130.13155348582683,449.54798052471455,21,21,False
31.0,100.0,26.5,98.80530632042826,813.751802549101,220.1428444849628,2335.938186090115,129.54323991584417,449.5365216194097,21,21,False
32.0,100.0,26.5,99.69432747665529,812.4485696435286,218.01710575724644,2333.967521306204,129.42045539537466,451.5874586548704,21,21,False
33.0,100.0,26.5,100.03818412824377,811.5918849430424,219.91425770436953,2334.507274971879,130.0338724289876,450.267613341965,21,21,False
34.0,100.0,26.5,100.37238595571367,811.9180151302683,219.31201601391703,2333.3907706011987,130.03854339140395,449.4386661228213,21,21,False
35.0,100.0,26.5,99.98248347914796,813.2346441535167,219.9366539058014,2335.6495818492504,129.87280648180754,450.5469774422711,21,21,False
36.0,100.0,26.5,99.79493559174271,813.8933642301671,219.2236356517955,2332.668089103177,129.2318736500754,449.65415403772994,21,21,False
37.0,100.0,26.5,98.49690514403257,812.3915514630467,219.10534241636387,2333.3881247711565,130.2456169709191,447.6697587360346,21,21,False
38.0,100.0,26.5,99.65337479137033,813.4344861841674,218.93104036088735,2336.5587103361077,130.06465052715217,450.8878723298554,21,21,False
39.0,100.0,26.5,100.80411756350857,812.7369784745775,220.5624639098109,2339.9783191707147,130.08332652838527,450.73000782495666,21,21,False
40.0,100.0,26.5,98.88292360933632,815.0023943776977,217.71918870056922,2334.425081019836,129.7385144410348,449.84991922496636,21,21,False
41.0,100.0,26.5,100.20340968606756,813.1167855041142,220.22405755706967,2337.8467258547844,129.97875490058155,448.6860613268293,21,21,False
42.0,100.0,26.5,99.21495205082917,813.7408569238361,222.22009509524216,2337.289801715433,130.03913597109485,450.77471242644856,21,21,False
43.0,100.0,26.5,99.09016619927968,812.104144337673,218.95543106837593,2334.6687482846387,130.0401259132148,449.5492663287027,21,21,False
44.0,100.0,26.5,99.54511808699672,812.5628173842665,220.457720104959,2334.9152561886613,129.4025528821946,449.9758715934595,21,21,False
45.0,100.0,26.5,99.32872128066926,814.6632698954,221.06041833363335,2336.250284368952,129.69849783122862,449.2561825237191,21,21,False
46.0,100.0,26.5,99.16101367406871,815.7776314939596,219.6908265806477,2334.3744651164834,129.95086426857685,450.7602202810104,21,21,False
47.0,100.0,26.5,98.66310078078922,813.9110383567196,218.46676915870324,2334.0899748893858,129.56303910349635,451.34971892055984,21,21,False
48.0,100.0,26.5,98.75819696182353,813.379728869693,221.2105318503742,2333.8354993356616,129.87224830352721,451.3321036655975,21,21,False
49.0,100.0,26.5,98.22834270966004,812.9100223542983,219.6404535639497,2338.4324849578616,129.62450531567367,450.43343725882346,21,21,False
50.0,100.0,26.5,100.55832034135373,813.3262093090312,220.05982005981443,2334.7355343107088,129.19023176077155,450.4129159226839,21,21,False
51.0,150.0,31.5,110.58431919517616,749.6583932816771,223.4016314397676,2293.5699273045702,131.52759187411772,450.66346207263086,21,21,False
52.0,150.0,36.5,123.42490671256496,670.0296834965445,228.19594414268738,2232.917274437159,133.87633917599808,448.9146251479077,21,21,False
53.0,150.0,41.5,132.29324099899543,590.7494486127218,233.56813356514763,2170.741913239729,136.66855402008568,449.9081017496907,21,21,False
54.0,150.0,46.5,142.27357699416615,523.1381623610889,235.54724934423422,2112.1487041247465,139.7045844079896,450.4847913363638,21,21,False
55.0,150.0,51.5,149.20869839956933,471.40953343357603,239.3984256257794,2060.3134920756697,141.85971686110352,449.53489299650124,21,21,False
56.0,150.0,53.0,151.49785480087286,440.88588085676605,239.95612941385932,2027.954455830954,143.67599660508355,450.5195777370464,21,21,False
57.0,150.0,53.0,155.15447516847092,427.8975307856003,240.94169968691224,2006.2689382818924,145.26138997285912,448.9405689420267,21,21,False
58.0,150.0,51.5,153.22360124744355,429.1812004364907,242.03597721999327,2001.3452951424256,145.95557869626447,450.46753904116974,21,21,False
59.0,150.0,51.5,150.61992810768555,430.86748439104747,241.4765453406758,1997.098564824913,146.79390499558053,452.01461657742516,21,21,False
