time_h,target_Q,choke_pct,Q,WHP,FLP,BHP,WHT,AP,n_candidates,n_feasible,all_infeasible
1.0,200.0,5.0,6.89468095915179,1456.4924139431514,182.1418482621814,2968.6485467738826,96.4844008401299,450.84632615336534,11,11,False
2.0,200.0,10.0,23.8549184387346,1361.506915337693,189.67768658363016,2897.726697373625,98.55618334584243,450.3792215026526,21,21,False
3.0,200.0,15.0,41.29890870753759,1236.4305355902222,200.94861267767433,2797.1102121033096,103.42974357235401,451.0286992570431,21,21,False
4.0,200.0,20.0,62.26582114057377,1095.919483588449,205.1777617613782,2682.026551227013,108.30106387936232,451.95626006112457,21,21,False
5.0,200.0,25.0,82.93087217305072,957.7111490971553,214.79510386948834,2559.8448580052645,113.59272249074213,449.22456518884815,21,21,False
6.0,200.0,30.0,99.9581831669235,828.870032858666,220.39469410197486,2441.0014560152495,119.74069167867711,451.4792686833612,21,21,False
7.0,200.0,35.0,115.63341905019162,720.2917674485453,228.1244214785914,2330.4813840310644,124.90922393025483,451.6619729823278,21,21,False
8.0,200.0,40.0,128.55019113896603,625.5670090047082,231.3779496225866,2237.652698306907,129.93610869839185,449.73542580976107,21,21,False
9.0,200.0,45.0,138.39829078544574,548.6027312756892,234.8975673368812,2160.374045534407,134.43411732095927,447.9698068893949,21,21,False
10.0,200.0,50.0,145.57080513886686,490.178934479543,237.84621597944943,2096.8022126748756,138.06020038986875,451.360600342195,21,21,False
11.0,200.0,55.0,152.38332694014045,443.6789655846905,242.70877263396008,2044.3553852732762,141.68375752847462,450.4076734025856,21,21,False
12.0,200.0,60.0,156.78282861418802,403.7292960298414,243.5541424181402,2001.319590916276,143.97569028030506,447.2181522169139,21,21,False
13.0,200.0,65.0,162.06894544846978,373.78877268758805,243.23471395069188,1967.1721644654733,146.35248515702642,450.94953397700067,21,21,False
14.0,200.0,70.0,162.9983471875574,350.78377750995327,246.87848235422894,1935.8838670740172,148.37712195584282,449.6269835002755,21,21,False
15.0,200.0,71.0,165.99298148150905,340.91197165379316,244.5871595269198,1920.9261488457182,149.39759752899454,450.05221380098925,21,13,False
16.0,200.0,69.0,164.5100382495018,338.494360044027,245.1974667410627,1910.6641509613348,150.39897717186227,450.7560359571222,21,7,False
17.0,200.0,67.5,163.7325110361699,341.3841532457067,246.26902618470058,1905.753029976559,151.10094008055924,450.17981017761423,21,8,False
18.0,200.0,66.0,164.15424237245517,345.124661567453,245.54577401384535,1909.0329947050973,151.28210072677982,449.9931897566704,21,8,False
19.0,200.0,65.5,163.51369891516748,350.4096490135287,246.47301683170824,1909.928418732738,151.8887857275974,449.51149856615825,21,10,False
20.0,200.0,65.0,163.56440565959934,350.94386114615014,246.43468592382166,1912.355512308237,151.7251808899849,450.46478658894335,21,10,False
21.0,200.0,64.5,162.68960980200444,352.5589821793242,246.66720463537925,1909.6329266141986,152.67980330865257,449.85798965526885,21,10,False
22.0,200.0,63.5,163.74542386524217,357.9801937681371,245.26757088909514,1917.055284857238,151.9670620821408,449.7319902295181,21,9,False
23.0,200.0,64.0,163.16746833117185,358.656369880849,243.90212832520498,1915.676971684266,151.19639350430512,448.2059203183201,21,12,False
24.0,200.0,64.0,162.417228748314,356.78561559983353,246.00250792107468,1917.3536784878368,152.00382762319427,450.0428455915831,21,11,False
25.0,200.0,64.0,162.73131794100857,356.51091156380977,243.2013716715504,1915.4003143997268,151.9698653870768,449.5627482209319,21,11,False
26.0,200.0,64.0,161.16028659006872,354.05544242824766,245.29620449841107,1918.142862519019,151.54938924783534,449.33571828644807,21,11,False
27.0,200.0,64.0,162.20771932906743,354.7838352195941,244.1480434873417,1915.0680859035772,151.9555165878885,451.22944638210066,21,11,False
28.0,200.0,64.0,162.42881514147243,356.4371770490925,245.81302214631606,1918.4069258579477,151.58944541734192,448.9106674374168,21,11,False
29.0,200.0,64.0,164.32493802081083,355.58897248531605,244.87762271081056,1915.1144734574611,152.1036605102428,451.68738408073256,21,11,False
30.0,200.0,64.0,162.54037057405927,354.80942936886134,246.72420914916577,1915.501671296622,152.4670148040133,449.592849960159,21,11,False
31.0,200.0,64.0,163.83383209636133,357.21327341153574,245.20638538360285,1916.4287382770433,151.44835400472786,450.7599533538024,21,11,False
32.0,200.0,64.0,162.6255858977766,356.224983663601,244.56306849234724,1916.7459801696966,151.76104006351056,450.8918904315545,21,11,False
33.0,200.0,64.0,162.34343895692737,358.39980787574456,245.10505711881117,1916.8694972470792,152.02862623186027,449.3900137233727,21,11,False
34.0,200.0,64.0,161.73589200953026,361.24145211416635,244.94502674241656,1915.3422436606334,151.50179439823566,449.6167236178645,21,11,False
35.0,200.0,64.0,162.8046811870753,354.7245609782178,244.38364082115294,1916.7981956543636,151.97853038744495,449.13005111191677,21,11,False
36.0,200.0,64.0,162.43896357374078,356.38815709985585,245.34126390430626,1917.629109387206,152.09474659279206,450.5049653771437,21,11,False
37.0,200.0,64.0,162.21657893639974,355.5000169739934,244.7982205960519,1914.9470751746362,151.66433350945647,450.8645775260161,21,11,False
38.0,200.0,64.0,162.43960294519042,358.98843331566815,243.37328928926456,1916.4994586006121,152.43636087781047,449.7045569824174,21,11,False
39.0,200.0,64.0,162.6570514183783,355.63271200016857,245.19191794800534,1915.6652281272313,151.45663893359304,449.1045670660187,21,11,False
40.0,200.0,64.0,163.76713512534997,355.9578665725847,246.16106157223206,1918.2215583530729,151.78302653231947,449.17358266583244,21,11,False
41.0,200.0,64.0,162.0157375479872,355.49504770056575,245.13963890056436,1911.843593554931,152.37163596399063,449.30933971576235,21,11,False
42.0,200.0,64.0,163.34624724589654,355.5249727878983,245.84865151085302,1918.5491974358276,151.95662018100455,451.8991375461097,21,11,False
43.0,200.0,64.0,164.0364918034032,357.4092183737832,243.98441485111584,1914.416922926516,151.8044845640987,451.5472162263036,21,11,False
44.0,200.0,64.0,162.90589870796038,354.5378747491961,243.4320029997865,1917.8270594138376,152.1021246932631,450.6487188754832,21,11,False
45.0,200.0,64.0,162.98076043491002,359.6626633139635,244.59245774190032,1917.7983624902142,151.66628013042197,450.2183727633557,21,11,False
46.0,200.0,64.0,162.76896176453639,357.4304828581872,245.72370885932244,1918.3937706629574,152.55789440270374,451.4869986366966,21,11,False
47.0,200.0,64.5,163.41775721759353,357.96091794289737,246.91265027573755,1916.1069201297412,152.13836074632394,451.2642929002186,21,12,False
48.0,200.0,64.5,163.07650786268857,359.5051513943488,245.14781659709794,1914.6334058202892,151.83266589269473,450.9040672040562,21,11,False
49.0,200.0,64.5,162.4208057510903,356.6710469908867,246.26822851626432,1914.4542007606547,152.70560204971272,449.2454026398436,21,11,False
50.0,200.0,64.5,163.80361843727223,355.12238771212407,245.36178402526795,1916.490655964517,151.39090557748136,450.595486446889,21,11,False
51.0,200.0,64.5,163.5798717918698,353.00260066495247,243.9319904793868,1914.355928729532,151.49228857624038,446.7328637652618,21,11,False
52.0,200.0,64.5,162.67211631223614,355.659999468463,245.97931756496374,1914.0476576072535,152.30887074017906,451.6564390744119,21,11,False
53.0,200.0,64.0,163.89047144716875,355.60177054738716,245.21687508385284,1916.0481912936896,151.8296282794208,450.6510847255013,21,10,False
54.0,200.0,64.0,163.24923272997933,354.43059503622345,245.42227537008733,1913.9964075523976,152.05791574307585,451.54945390092587,21,11,False
55.0,200.0,64.0,163.2196866138728,355.666957154418,244.1134706445176,1915.3847684967714,152.16463092565107,449.19894258646417,21,11,False
56.0,200.0,64.0,162.63816348326986,357.9138587943327,244.33913419918215,1916.3826328605287,152.0106538014399,450.63159673879136,21,11,False
57.0,200.0,64.0,162.65480448594488,355.8551450659887,245.83825135195863,1914.2518700555725,151.4665626149914,450.73845804255785,21,11,False
58.0,200.0,64.0,162.0583886433261,357.48443458417967,246.90421182292687,1914.0850721626066,151.85313994819532,448.92844007871435,21,11,False
59.0,200.0,64.0,161.36813043804977,358.9812117197593,244.6751408344108,1918.0304122913676,152.0136914512332,450.602149136352,21,11,False
60.0,200.0,64.0,163.47116511309093,356.3576446140758,243.10422412937518,1913.5446786609787,151.64442016783073,449.25493656314256,21,11,False
61.0,200.0,64.0,164.40431674019206,358.4182897029677,246.28378862394348,1914.2487700361653,151.61688989187903,450.11123878417567,21,11,False
62.0,200.0,64.0,162.31504586582588,358.8700417770914,244.085026505136,1915.244188194723,151.85010154498102,450.4518591671718,21,11,False
63.0,200.0,64.0,163.00727053975461,355.6957754916457,245.49117651975334,1915.1643589067123,152.0157451021698,450.5222985282107,21,11,False
64.0,200.0,64.0,162.3921250571307,355.6942606775544,246.0925467353159,1913.761997913482,151.93231361442486,451.56808140225337,21,11,False
65.0,200.0,64.0,162.86211203242547,356.845035085489,244.9880160803961,1917.400143301136,152.09692782345613,450.6150742969301,21,11,False
66.0,200.0,64.0,162.33201686180718,356.87222213647743,246.1859383687649,1914.4920629760766,152.09044827304635,450.5225657999167,21,11,False
67.0,200.0,64.0,162.754886626325,357.8126587223707,244.86742891534993,1916.9988503852644,151.51365535843956,448.79445113025076,21,11,False
68.0,200.0,64.0,163.12115487420292,357.5762200032223,245.9059203994963,1921.3378798262383,151.9789732164834,450.7065827012441,21,11,False
69.0,200.0,64.5,163.3500482977837,353.5474945168975,245.29025253091928,1913.3402731916292,152.02653826146658,449.9628705544536,21,12,False
70.0,200.0,64.0,164.14994461874605,353.97096044759235,243.68974347644848,1920.6603975092282,151.6868445922726,449.0703005779494,21,10,False
71.0,200.0,64.5,162.81423145742767,353.92664394297924,243.05964847123667,1910.8474003157423,151.70624649676932,450.1560737994874,21,12,False
72.0,200.0,64.0,163.2805886632228,355.4752644084187,244.63775588880907,1919.2583633295008,152.48662133446072,451.9814171271115,21,10,False
73.0,200.0,64.5,162.41191904037836,356.8972198834179,246.53891222254285,1918.18181472909,152.08200805090854,450.71508481635874,21,12,False
74.0,200.0,64.5,163.1292035351334,355.8530663304011,245.823713551331,1917.033221357565,151.93191483042926,450.200137184433,21,11,False
75.0,200.0,64.5,163.56253004588027,355.82496407520676,245.4476689204033,1915.6876238344382,152.39194675987397,449.73062148918945,21,11,False
76.0,200.0,64.5,162.31198855430188,351.79102865864036,244.51566395186046,1917.214699123943,151.9973808458578,449.7358663495354,21,11,False
77.0,200.0,64.5,162.72577700073504,357.19214331375525,245.59582203385594,1915.368485710607,151.6904963754891,452.0020446223038,21,11,False
